slug,market_id,yes_outcome,yes_resolved,volume,resolved_at
btc-updown-15m-1785779100,3292185,Up,1.0,27625.774613000012,2026-08-04T03:14:47Z
btc-updown-15m-1785780000,3292236,Up,1.0,0.0,2026-08-04T03:14:47Z
btc-updown-15m-1785793500,3295852,Up,0.0,18786.106409,2026-08-04T03:14:47Z
btc-updown-15m-1785794400,3295914,Up,0.0,32100.680295000006,2026-08-04T03:14:47Z
btc-updown-15m-1785795300,3296000,Up,1.0,0.0,2026-08-04T03:14:48Z
btc-updown-15m-1785796200,3296190,Up,0.0,18014.472917999992,2026-08-04T03:14:48Z
btc-updown-15m-1785797100,3296323,Up,1.0,16933.01610500001,2026-08-04T03:14:48Z
btc-updown-15m-1785798000,3296364,Up,0.0,0.0,2026-08-04T03:14:48Z
btc-updown-15m-1785798900,3296409,Up,1.0,0.0,2026-08-04T03:14:48Z
btc-updown-15m-1785799800,3296438,Up,0.0,14276.259514000001,2026-08-04T03:14:48Z
btc-updown-15m-1785800700,3296503,Up,1.0,19473.500735000005,2026-08-04T03:14:48Z
btc-updown-15m-1785801600,3296536,Up,0.0,0.0,2026-08-04T03:14:49Z
btc-updown-15m-1785802500,3296571,Up,0.0,0.0,2026-08-04T03:14:49Z
btc-updown-15m-1785803400,3296611,Up,0.0,17088.865968999988,2026-08-04T03:14:49Z
btc-updown-15m-1785804300,3296650,Up,0.0,23251.981876999987,2026-08-04T03:14:49Z
btc-updown-15m-1785805200,3296854,Up,1.0,0.0,2026-08-04T03:14:49Z
btc-updown-15m-1785806100,3296986,Up,1.0,0.0,2026-08-04T03:14:49Z
btc-updown-15m-1785807000,3297043,Up,1.0,20147.013241999997,2026-08-04T03:14:49Z
btc-updown-15m-1785807900,3297239,Up,1.0,17656.237071000014,2026-08-04T03:14:49Z
btc-updown-15m-1785808800,3297280,Up,0.0,0.0,2026-08-04T03:14:50Z
btc-updown-15m-1785809700,3297321,Up,0.0,22911.989717000004,2026-08-04T03:14:50Z
btc-updown-15m-1785810600,3297358,Up,1.0,17932.81596200001,2026-08-04T03:14:50Z
btc-updown-15m-1785811500,3297470,Up,0.0,629.4568329999998,2026-08-04T03:14:50Z
